symbol,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,biotype
MT-CO1,ENSG00000198804,177274.1597608927,-0.1818620610520574,0.42583962337402825,-0.42706702493093807,0.6693305099185478,0.999963851841025,protein_coding
EEF1A1,ENSG00000156508,126250.7954771366,0.02186497918220221,0.08816075412582831,0.24801261512571912,0.8041246462243254,0.999963851841025,protein_coding
MT-ND4,ENSG00000198886,116766.08685514965,-0.16879647460365013,0.4772668379608038,-0.35367316808529814,0.7235838333307583,0.999963851841025,protein_coding
ACTG1,ENSG00000184009,92839.57024008692,0.029305534002947414,0.32291410969228185,0.09075334004721523,0.9276885862320358,0.999963851841025,protein_coding
ACTB,ENSG00000075624,81024.14153001124,0.03799479790317273,0.26887358395685435,0.14131101071375493,0.8876242516088854,0.999963851841025,protein_coding
FLNA,ENSG00000196924,75844.25672361163,0.008575684813103975,0.0912031494676461,0.0940283845805803,0.9250866089853439,0.999963851841025,protein_coding
MT-CO2,ENSG00000198712,66234.58989744738,-0.13628357872061952,0.5155045273352,-0.2643693149022587,0.7914953537936487,0.999963851841025,protein_coding
MYH9,ENSG00000100345,59459.20718152749,0.07350715927963308,0.13514810097734223,0.5439007928935432,0.5865097433152446,0.999963851841025,protein_coding
MT-CYB,ENSG00000198727,58580.87424109035,-0.20071594170490467,0.5139023775313424,-0.3905721212442984,0.6961135360201354,0.999963851841025,protein_coding
TGFBI,ENSG00000120708,58769.00354513892,-0.28634961536365394,0.11779012411613417,-2.431015482090247,0.015056571171770292,0.9241089002171725,protein_coding
ENO1,ENSG00000074800,58417.86145264048,-0.130447194533527,0.3459478351191794,-0.37707186254999336,0.7061202009017327,0.999963851841025,protein_coding
PKM,ENSG00000067225,54781.218328095616,-0.046680026328742026,0.15833060810055946,-0.2948262934674921,0.7681265794553827,0.999963851841025,protein_coding
EEF2,ENSG00000167658,51561.61306207658,-0.11942529552798693,0.1622192237104042,-0.7361969364443912,0.46161085638574784,0.999963851841025,protein_coding
MT-ATP6,ENSG00000198899,47851.69134763766,-0.31864178479708344,0.5102592625257054,-0.6244703588913904,0.5323187307006259,0.999963851841025,protein_coding
GAPDH,ENSG00000111640,45702.43437002428,-0.22235631886609533,0.26802372082497755,-0.8296143273501395,0.4067568736150611,0.999963851841025,protein_coding
C3,ENSG00000125730,45014.858923483545,-0.20199723799184094,0.2571459342353447,-0.7855354143261286,0.4321397149291768,0.999963851841025,protein_coding
MT-CO3,ENSG00000198938,43181.114478759366,-0.2182731984221339,0.40055869522478765,-0.5449218829206596,0.5858072451748515,0.999963851841025,protein_coding
ANXA2,ENSG00000182718,43450.471243113265,0.11592459517763694,0.12263350779141083,0.9452929893746073,0.3445093165652243,0.999963851841025,protein_coding
CDKN1A,ENSG00000124762,40892.31127244652,-0.15030188011663972,1.202555479772386,-0.1249854020415658,0.9005351071945193,0.999963851841025,protein_coding
FN1,ENSG00000115414,39212.24060450292,-0.25768476011148594,0.1862357127169421,-1.383648476182109,0.1664661172417584,0.999963851841025,protein_coding
MT-ND5,ENSG00000198786,38594.28802578003,-0.4754076199143445,0.2977571602749845,-1.5966286737665565,0.1103485033816233,0.999963851841025,protein_coding
MT-ND2,ENSG00000198763,37555.908687921605,-0.21601425646593228,0.4602373858370781,-0.46935399668379035,0.6388166250959204,0.999963851841025,protein_coding
LDHA,ENSG00000134333,35885.193631648486,-0.1075046391194469,0.42696248250851643,-0.25178942769825813,0.8012038295825918,0.999963851841025,protein_coding
